15:33:43.798 Temperature_(C): 21.60, Humidity_(%): 55.20, VOC_(PPM): 486.17, CO2_(PPM): 489.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:33:44.618 Temperature_(C): 21.70, Humidity_(%): 55.30, VOC_(PPM): 511.93, CO2_(PPM): 488.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:33:45.485 Temperature_(C): 21.70, Humidity_(%): 55.30, VOC_(PPM): 460.00, CO2_(PPM): 487.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:33:46.399 Temperature_(C): 21.60, Humidity_(%): 55.20, VOC_(PPM): 503.74, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:33:47.235 Temperature_(C): 21.60, Humidity_(%): 55.20, VOC_(PPM): 494.90, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:33:48.094 Temperature_(C): 21.60, Humidity_(%): 55.10, VOC_(PPM): 469.34, CO2_(PPM): 485.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:33:49.008 Temperature_(C): 21.60, Humidity_(%): 55.10, VOC_(PPM): 513.00, CO2_(PPM): 484.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:49.876 Temperature_(C): 21.60, Humidity_(%): 55.10, VOC_(PPM): 486.44, CO2_(PPM): 483.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:50.700 Temperature_(C): 21.60, Humidity_(%): 55.00, VOC_(PPM): 478.10, CO2_(PPM): 482.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:51.639 Temperature_(C): 21.60, Humidity_(%): 55.00, VOC_(PPM): 461.22, CO2_(PPM): 481.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:52.481 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 494.42, CO2_(PPM): 480.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:53.313 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 397.41, CO2_(PPM): 480.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:54.247 Temperature_(C): 21.60, Humidity_(%): 55.20, VOC_(PPM): 477.56, CO2_(PPM): 479.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:33:55.091 Temperature_(C): 21.60, Humidity_(%): 55.20, VOC_(PPM): 486.17, CO2_(PPM): 478.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:33:55.935 Temperature_(C): 21.60, Humidity_(%): 55.20, VOC_(PPM): 452.45, CO2_(PPM): 478.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:33:56.848 Temperature_(C): 21.70, Humidity_(%): 54.80, VOC_(PPM): 486.79, CO2_(PPM): 476.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:57.717 Temperature_(C): 21.70, Humidity_(%): 54.80, VOC_(PPM): 461.29, CO2_(PPM): 475.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:58.560 Temperature_(C): 21.60, Humidity_(%): 54.60, VOC_(PPM): 470.65, CO2_(PPM): 474.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:33:59.474 Temperature_(C): 21.60, Humidity_(%): 54.60, VOC_(PPM): 437.74, CO2_(PPM): 473.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:00.313 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 477.90, CO2_(PPM): 473.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:01.170 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 461.03, CO2_(PPM): 472.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:02.091 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 461.03, CO2_(PPM): 471.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 1
15:34:02.927 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 630.80, CO2_(PPM): 469.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 1
15:34:03.795 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 444.62, CO2_(PPM): 469.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 1
15:34:04.709 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 477.90, CO2_(PPM): 468.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:05.552 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 436.59, CO2_(PPM): 467.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:06.392 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 460.26, CO2_(PPM): 467.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:07.320 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 375.63, CO2_(PPM): 465.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:08.170 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 452.77, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:09.010 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 477.90, CO2_(PPM): 463.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:09.944 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 452.77, CO2_(PPM): 462.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
