08:15:09.409 Temperature_(C): 19.30, Humidity_(%): 82.50, VOC_(PPM): 154.95, CO2_(PPM): 861.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 10, PM10_(ug/m3): 14
08:15:10.265 Temperature_(C): 19.30, Humidity_(%): 82.50, VOC_(PPM): 131.53, CO2_(PPM): 858.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 10, PM10_(ug/m3): 14
08:15:11.113 Temperature_(C): 19.20, Humidity_(%): 82.60, VOC_(PPM): 138.43, CO2_(PPM): 854.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 10, PM10_(ug/m3): 14
08:15:12.022 Temperature_(C): 19.20, Humidity_(%): 82.60, VOC_(PPM): 128.87, CO2_(PPM): 851.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 10, PM10_(ug/m3): 13
08:15:12.887 Temperature_(C): 19.20, Humidity_(%): 82.60, VOC_(PPM): 138.43, CO2_(PPM): 846.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 10, PM10_(ug/m3): 13
08:15:15.491 Temperature_(C): 19.30, Humidity_(%): 82.80, VOC_(PPM): 154.70, CO2_(PPM): 840.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 11, PM10_(ug/m3): 14
08:15:16.328 Temperature_(C): 19.30, Humidity_(%): 82.80, VOC_(PPM): 131.31, CO2_(PPM): 840.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 11, PM10_(ug/m3): 14
08:15:17.266 Temperature_(C): 19.30, Humidity_(%): 82.70, VOC_(PPM): 169.46, CO2_(PPM): 838.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:18.102 Temperature_(C): 19.30, Humidity_(%): 82.70, VOC_(PPM): 134.56, CO2_(PPM): 836.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:18.944 Temperature_(C): 19.30, Humidity_(%): 82.70, VOC_(PPM): 144.41, CO2_(PPM): 835.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:19.862 Temperature_(C): 19.30, Humidity_(%): 82.90, VOC_(PPM): 140.91, CO2_(PPM): 834.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 13
08:15:20.727 Temperature_(C): 19.30, Humidity_(%): 82.90, VOC_(PPM): 158.19, CO2_(PPM): 832.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 13
08:15:21.574 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 124.86, CO2_(PPM): 830.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 13
08:15:22.475 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 150.85, CO2_(PPM): 830.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:23.340 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 184.63, CO2_(PPM): 829.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:24.179 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 150.85, CO2_(PPM): 829.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:25.127 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 169.00, CO2_(PPM): 828.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:25.941 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 154.36, CO2_(PPM): 827.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:26.809 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 161.56, CO2_(PPM): 825.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 14
08:15:27.723 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 147.41, CO2_(PPM): 824.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
08:15:28.567 Temperature_(C): 19.30, Humidity_(%): 83.20, VOC_(PPM): 165.24, CO2_(PPM): 823.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
08:15:29.406 Temperature_(C): 19.50, Humidity_(%): 83.20, VOC_(PPM): 183.11, CO2_(PPM): 823.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
08:15:30.332 Temperature_(C): 19.50, Humidity_(%): 83.20, VOC_(PPM): 156.63, CO2_(PPM): 822.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 10
08:15:31.180 Temperature_(C): 19.40, Humidity_(%): 83.40, VOC_(PPM): 256.85, CO2_(PPM): 822.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 10
08:15:32.019 Temperature_(C): 19.40, Humidity_(%): 83.40, VOC_(PPM): 150.06, CO2_(PPM): 823.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 10
08:15:32.958 Temperature_(C): 19.40, Humidity_(%): 83.40, VOC_(PPM): 168.11, CO2_(PPM): 822.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
08:15:33.801 Temperature_(C): 19.40, Humidity_(%): 83.30, VOC_(PPM): 157.19, CO2_(PPM): 821.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
08:15:34.645 Temperature_(C): 19.40, Humidity_(%): 83.30, VOC_(PPM): 168.20, CO2_(PPM): 821.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
08:15:35.555 Temperature_(C): 19.40, Humidity_(%): 83.10, VOC_(PPM): 133.71, CO2_(PPM): 821.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 8, PM10_(ug/m3): 11
08:15:36.415 Temperature_(C): 19.40, Humidity_(%): 83.10, VOC_(PPM): 172.19, CO2_(PPM): 820.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 8, PM10_(ug/m3): 11
08:15:37.263 Temperature_(C): 19.50, Humidity_(%): 83.20, VOC_(PPM): 208.34, CO2_(PPM): 819.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 8, PM10_(ug/m3): 11
08:15:38.168 Temperature_(C): 19.50, Humidity_(%): 83.20, VOC_(PPM): 163.88, CO2_(PPM): 819.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 11, PM10_(ug/m3): 14
08:15:39.036 Temperature_(C): 19.50, Humidity_(%): 83.20, VOC_(PPM): 183.11, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 11, PM10_(ug/m3): 14
08:15:41.641 Temperature_(C): 19.60, Humidity_(%): 83.20, VOC_(PPM): 152.46, CO2_(PPM): 818.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 9, PM10_(ug/m3): 15
08:15:42.473 Temperature_(C): 19.60, Humidity_(%): 83.20, VOC_(PPM): 159.56, CO2_(PPM): 818.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 9, PM10_(ug/m3): 15
08:15:43.412 Temperature_(C): 19.50, Humidity_(%): 83.10, VOC_(PPM): 191.36, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 11, PM10_(ug/m3): 14
08:15:44.251 Temperature_(C): 19.50, Humidity_(%): 83.10, VOC_(PPM): 156.71, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 11, PM10_(ug/m3): 14
08:15:45.115 Temperature_(C): 19.50, Humidity_(%): 83.10, VOC_(PPM): 163.97, CO2_(PPM): 817.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 11, PM10_(ug/m3): 14
08:15:46.029 Temperature_(C): 19.50, Humidity_(%): 83.10, VOC_(PPM): 149.69, CO2_(PPM): 817.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:46.877 Temperature_(C): 19.50, Humidity_(%): 83.10, VOC_(PPM): 163.97, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:47.720 Temperature_(C): 19.60, Humidity_(%): 83.20, VOC_(PPM): 138.95, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:48.626 Temperature_(C): 19.60, Humidity_(%): 83.20, VOC_(PPM): 155.98, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:49.490 Temperature_(C): 19.60, Humidity_(%): 83.20, VOC_(PPM): 174.51, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:50.330 Temperature_(C): 19.60, Humidity_(%): 83.20, VOC_(PPM): 145.59, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:51.272 Temperature_(C): 19.60, Humidity_(%): 82.90, VOC_(PPM): 186.69, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:52.088 Temperature_(C): 19.60, Humidity_(%): 82.90, VOC_(PPM): 145.83, CO2_(PPM): 819.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:52.955 Temperature_(C): 19.60, Humidity_(%): 82.90, VOC_(PPM): 149.24, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 15
08:15:53.870 Temperature_(C): 19.60, Humidity_(%): 83.10, VOC_(PPM): 135.79, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 13, PM10_(ug/m3): 16
08:15:54.717 Temperature_(C): 19.60, Humidity_(%): 83.10, VOC_(PPM): 149.08, CO2_(PPM): 819.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 13, PM10_(ug/m3): 16
08:15:55.582 Temperature_(C): 19.60, Humidity_(%): 82.80, VOC_(PPM): 109.27, CO2_(PPM): 819.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 13, PM10_(ug/m3): 16
08:15:56.486 Temperature_(C): 19.60, Humidity_(%): 82.80, VOC_(PPM): 145.91, CO2_(PPM): 819.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 14, PM10_(ug/m3): 19
08:15:57.330 Temperature_(C): 19.70, Humidity_(%): 82.70, VOC_(PPM): 174.27, CO2_(PPM): 819.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 14, PM10_(ug/m3): 19
08:15:58.171 Temperature_(C): 19.70, Humidity_(%): 82.70, VOC_(PPM): 132.36, CO2_(PPM): 819.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 14, PM10_(ug/m3): 19
08:15:59.108 Temperature_(C): 19.70, Humidity_(%): 82.70, VOC_(PPM): 148.79, CO2_(PPM): 820.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 14, PM10_(ug/m3): 19
08:15:59.951 Temperature_(C): 19.80, Humidity_(%): 82.70, VOC_(PPM): 131.82, CO2_(PPM): 820.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 14, PM10_(ug/m3): 19
08:16:00.795 Temperature_(C): 19.80, Humidity_(%): 82.70, VOC_(PPM): 138.20, CO2_(PPM): 820.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 14, PM10_(ug/m3): 19
08:16:01.709 Temperature_(C): 19.70, Humidity_(%): 82.50, VOC_(PPM): 129.38, CO2_(PPM): 820.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 14, PM10_(ug/m3): 18
08:16:02.565 Temperature_(C): 19.70, Humidity_(%): 82.50, VOC_(PPM): 142.20, CO2_(PPM): 821.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 14, PM10_(ug/m3): 18
08:16:03.413 Temperature_(C): 19.70, Humidity_(%): 82.50, VOC_(PPM): 163.17, CO2_(PPM): 821.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 14, PM10_(ug/m3): 18
