14:56:44.509 Temperature_(C): 21.70, Humidity_(%): 53.80, VOC_(PPM): 270.89, CO2_(PPM): 787.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:47.143 Temperature_(C): 21.90, Humidity_(%): 53.80, VOC_(PPM): 299.19, CO2_(PPM): 760.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:47.974 Temperature_(C): 21.90, Humidity_(%): 53.80, VOC_(PPM): 515.24, CO2_(PPM): 760.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:48.826 Temperature_(C): 21.90, Humidity_(%): 53.50, VOC_(PPM): 276.42, CO2_(PPM): 760.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:49.735 Temperature_(C): 21.90, Humidity_(%): 53.50, VOC_(PPM): 293.74, CO2_(PPM): 755.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:50.608 Temperature_(C): 21.90, Humidity_(%): 53.50, VOC_(PPM): 249.27, CO2_(PPM): 755.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:52.349 Temperature_(C): 22.00, Humidity_(%): 53.60, VOC_(PPM): 228.69, CO2_(PPM): 757.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:53.222 Temperature_(C): 22.00, Humidity_(%): 54.00, VOC_(PPM): 258.90, CO2_(PPM): 758.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:54.065 Temperature_(C): 22.00, Humidity_(%): 54.00, VOC_(PPM): 421.75, CO2_(PPM): 758.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:54.999 Temperature_(C): 21.90, Humidity_(%): 53.40, VOC_(PPM): 249.41, CO2_(PPM): 760.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:55.822 Temperature_(C): 21.90, Humidity_(%): 53.40, VOC_(PPM): 892.78, CO2_(PPM): 765.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:56.675 Temperature_(C): 21.90, Humidity_(%): 53.40, VOC_(PPM): 249.41, CO2_(PPM): 782.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:56:57.592 Temperature_(C): 22.00, Humidity_(%): 53.30, VOC_(PPM): 265.35, CO2_(PPM): 782.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
14:56:58.523 Temperature_(C): 22.00, Humidity_(%): 53.30, VOC_(PPM): 229.07, CO2_(PPM): 784.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
14:56:59.452 Temperature_(C): 22.10, Humidity_(%): 52.90, VOC_(PPM): 244.44, CO2_(PPM): 784.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
14:57:00.353 Temperature_(C): 22.10, Humidity_(%): 52.90, VOC_(PPM): 210.35, CO2_(PPM): 784.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9
14:57:01.299 Temperature_(C): 22.10, Humidity_(%): 52.60, VOC_(PPM): 234.70, CO2_(PPM): 771.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 11, PM10_(ug/m3): 11
14:57:02.209 Temperature_(C): 22.10, Humidity_(%): 52.60, VOC_(PPM): 168.21, CO2_(PPM): 763.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:57:03.127 Temperature_(C): 22.10, Humidity_(%): 52.30, VOC_(PPM): 225.24, CO2_(PPM): 760.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
14:57:04.040 Temperature_(C): 22.10, Humidity_(%): 52.30, VOC_(PPM): 402.34, CO2_(PPM): 754.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
14:57:04.969 Temperature_(C): 22.10, Humidity_(%): 51.70, VOC_(PPM): 221.17, CO2_(PPM): 753.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
14:57:05.899 Temperature_(C): 22.10, Humidity_(%): 51.70, VOC_(PPM): 450.88, CO2_(PPM): 762.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
14:57:06.792 Temperature_(C): 22.10, Humidity_(%): 51.70, VOC_(PPM): 198.20, CO2_(PPM): 764.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
14:57:07.710 Temperature_(C): 22.10, Humidity_(%): 51.80, VOC_(PPM): 221.05, CO2_(PPM): 768.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
14:57:08.623 Temperature_(C): 22.10, Humidity_(%): 51.80, VOC_(PPM): 202.53, CO2_(PPM): 768.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:57:09.500 Temperature_(C): 21.80, Humidity_(%): 51.40, VOC_(PPM): 231.95, CO2_(PPM): 767.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:57:10.331 Temperature_(C): 21.80, Humidity_(%): 51.40, VOC_(PPM): 194.71, CO2_(PPM): 763.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:57:11.257 Temperature_(C): 21.80, Humidity_(%): 51.70, VOC_(PPM): 221.81, CO2_(PPM): 754.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:57:12.101 Temperature_(C): 21.80, Humidity_(%): 51.70, VOC_(PPM): 397.35, CO2_(PPM): 747.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:57:12.961 Temperature_(C): 21.80, Humidity_(%): 51.70, VOC_(PPM): 221.81, CO2_(PPM): 740.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:57:13.870 Temperature_(C): 21.80, Humidity_(%): 51.70, VOC_(PPM): 549.95, CO2_(PPM): 732.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
14:57:14.714 Temperature_(C): 21.80, Humidity_(%): 51.70, VOC_(PPM): 217.05, CO2_(PPM): 732.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
14:57:15.586 Temperature_(C): 21.80, Humidity_(%): 51.60, VOC_(PPM): 226.78, CO2_(PPM): 723.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
14:57:16.490 Temperature_(C): 21.80, Humidity_(%): 51.60, VOC_(PPM): 207.88, CO2_(PPM): 716.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
14:57:17.364 Temperature_(C): 21.80, Humidity_(%): 51.70, VOC_(PPM): 231.57, CO2_(PPM): 710.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
14:57:18.188 Temperature_(C): 21.80, Humidity_(%): 51.70, VOC_(PPM): 368.39, CO2_(PPM): 703.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
14:57:19.126 Temperature_(C): 21.60, Humidity_(%): 51.80, VOC_(PPM): 222.12, CO2_(PPM): 699.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
14:57:19.970 Temperature_(C): 21.60, Humidity_(%): 51.80, VOC_(PPM): 413.03, CO2_(PPM): 697.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
14:57:20.830 Temperature_(C): 21.60, Humidity_(%): 51.80, VOC_(PPM): 208.05, CO2_(PPM): 696.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
14:57:21.723 Temperature_(C): 21.60, Humidity_(%): 51.80, VOC_(PPM): 222.12, CO2_(PPM): 696.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
14:57:22.591 Temperature_(C): 21.60, Humidity_(%): 51.80, VOC_(PPM): 199.04, CO2_(PPM): 694.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
14:57:23.451 Temperature_(C): 21.60, Humidity_(%): 52.40, VOC_(PPM): 216.63, CO2_(PPM): 694.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
14:57:24.373 Temperature_(C): 21.60, Humidity_(%): 52.40, VOC_(PPM): 181.30, CO2_(PPM): 693.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 8, PM10_(ug/m3): 12
14:57:25.275 Temperature_(C): 21.70, Humidity_(%): 52.20, VOC_(PPM): 202.86, CO2_(PPM): 691.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 8, PM10_(ug/m3): 12
14:57:26.208 Temperature_(C): 21.70, Humidity_(%): 52.20, VOC_(PPM): 340.45, CO2_(PPM): 688.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 8, PM10_(ug/m3): 12
14:57:27.135 Temperature_(C): 21.50, Humidity_(%): 52.20, VOC_(PPM): 198.79, CO2_(PPM): 682.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
14:57:28.035 Temperature_(C): 21.50, Humidity_(%): 52.20, VOC_(PPM): 361.45, CO2_(PPM): 681.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 7, PM10_(ug/m3): 10
14:57:28.953 Temperature_(C): 21.50, Humidity_(%): 52.20, VOC_(PPM): 194.41, CO2_(PPM): 684.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
14:57:29.870 Temperature_(C): 21.50, Humidity_(%): 52.10, VOC_(PPM): 531.41, CO2_(PPM): 688.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 9, PM10_(ug/m3): 13
14:57:30.780 Temperature_(C): 21.50, Humidity_(%): 52.10, VOC_(PPM): 185.95, CO2_(PPM): 688.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 9, PM10_(ug/m3): 13
14:57:33.537 Temperature_(C): 21.40, Humidity_(%): 52.20, VOC_(PPM): 207.99, CO2_(PPM): 683.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 7
14:57:34.470 Temperature_(C): 21.40, Humidity_(%): 52.20, VOC_(PPM): 190.27, CO2_(PPM): 678.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 7
