10:05:49.939 Temperature_(C): 21.80, Humidity_(%): 74.00, VOC_(PPM): 195.40, CO2_(PPM): 555.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
10:05:50.807 Temperature_(C): 21.80, Humidity_(%): 74.00, VOC_(PPM): 163.69, CO2_(PPM): 556.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
10:05:51.716 Temperature_(C): 21.80, Humidity_(%): 73.70, VOC_(PPM): 191.54, CO2_(PPM): 556.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
10:05:52.551 Temperature_(C): 21.80, Humidity_(%): 73.70, VOC_(PPM): 167.72, CO2_(PPM): 556.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
10:05:53.420 Temperature_(C): 21.80, Humidity_(%): 73.70, VOC_(PPM): 175.40, CO2_(PPM): 556.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
10:05:54.333 Temperature_(C): 21.90, Humidity_(%): 73.20, VOC_(PPM): 191.90, CO2_(PPM): 555.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
10:05:55.177 Temperature_(C): 21.90, Humidity_(%): 73.20, VOC_(PPM): 179.68, CO2_(PPM): 555.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
10:05:56.025 Temperature_(C): 21.80, Humidity_(%): 72.80, VOC_(PPM): 184.30, CO2_(PPM): 555.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
10:05:56.939 Temperature_(C): 21.80, Humidity_(%): 72.80, VOC_(PPM): 172.43, CO2_(PPM): 555.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:05:57.778 Temperature_(C): 21.90, Humidity_(%): 72.90, VOC_(PPM): 188.09, CO2_(PPM): 555.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:05:58.634 Temperature_(C): 21.90, Humidity_(%): 72.90, VOC_(PPM): 157.25, CO2_(PPM): 554.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:05:59.548 Temperature_(C): 21.90, Humidity_(%): 72.90, VOC_(PPM): 179.99, CO2_(PPM): 553.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:06:02.157 Temperature_(C): 21.90, Humidity_(%): 72.50, VOC_(PPM): 196.91, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 7
10:06:03.021 Temperature_(C): 21.90, Humidity_(%): 72.50, VOC_(PPM): 168.73, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 7
10:06:03.865 Temperature_(C): 21.90, Humidity_(%): 72.20, VOC_(PPM): 172.86, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 7
10:06:04.766 Temperature_(C): 21.90, Humidity_(%): 72.20, VOC_(PPM): 165.25, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 6
10:06:05.614 Temperature_(C): 21.90, Humidity_(%): 72.20, VOC_(PPM): 180.72, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 6
10:06:06.483 Temperature_(C): 21.90, Humidity_(%): 71.90, VOC_(PPM): 134.25, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 6
10:06:07.396 Temperature_(C): 21.90, Humidity_(%): 71.90, VOC_(PPM): 181.04, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 6
10:06:08.240 Temperature_(C): 21.90, Humidity_(%): 71.70, VOC_(PPM): 206.52, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 6
10:06:09.088 Temperature_(C): 21.90, Humidity_(%): 71.70, VOC_(PPM): 173.36, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 6
10:06:10.022 Temperature_(C): 21.90, Humidity_(%): 71.30, VOC_(PPM): 189.84, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:06:10.857 Temperature_(C): 21.90, Humidity_(%): 71.30, VOC_(PPM): 173.76, CO2_(PPM): 553.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:06:11.693 Temperature_(C): 21.90, Humidity_(%): 71.30, VOC_(PPM): 181.67, CO2_(PPM): 554.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:06:12.635 Temperature_(C): 21.90, Humidity_(%): 71.60, VOC_(PPM): 162.10, CO2_(PPM): 554.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:06:13.479 Temperature_(C): 21.90, Humidity_(%): 71.60, VOC_(PPM): 181.35, CO2_(PPM): 554.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8c
10:06:14.327 Temperature_(C): 21.90, Humidity_(%): 71.50, VOC_(PPM): 185.51, CO2_(PPM): 554.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
