 PM10_(ug/m3): 25
15:02:45.691 Temperature_(C): 20.10, Humidity_(%): 57.00, VOC_(PPM): 163.49, CO2_(PPM): 464.00, PM1.0_(ug/m3): 16, PM2.5_(ug/m3): 21, PM10_(ug/m3): 21
15:02:48.436 Temperature_(C): 20.20, Humidity_(%): 57.40, VOC_(PPM): 137.90, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:49.345 Temperature_(C): 20.20, Humidity_(%): 57.40, VOC_(PPM): 159.20, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:50.271 Temperature_(C): 20.30, Humidity_(%): 57.70, VOC_(PPM): 268.67, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:51.115 Temperature_(C): 20.30, Humidity_(%): 57.70, VOC_(PPM): 166.36, CO2_(PPM): 463.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:51.995 Temperature_(C): 20.20, Humidity_(%): 58.00, VOC_(PPM): 412.00, CO2_(PPM): 463.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:52.884 Temperature_(C): 20.20, Humidity_(%): 58.00, VOC_(PPM): 158.67, CO2_(PPM): 463.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:53.756 Temperature_(C): 20.20, Humidity_(%): 58.00, VOC_(PPM): 178.11, CO2_(PPM): 463.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:54.608 Temperature_(C): 20.30, Humidity_(%): 57.50, VOC_(PPM): 155.26, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:02:55.519 Temperature_(C): 20.30, Humidity_(%): 57.50, VOC_(PPM): 178.44, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:02:56.370 Temperature_(C): 20.40, Humidity_(%): 57.20, VOC_(PPM): 137.79, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:02:57.214 Temperature_(C): 20.40, Humidity_(%): 57.20, VOC_(PPM): 162.84, CO2_(PPM): 463.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:02:58.135 Temperature_(C): 20.40, Humidity_(%): 57.50, VOC_(PPM): 297.36, CO2_(PPM): 463.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:02:58.983 Temperature_(C): 20.40, Humidity_(%): 57.50, VOC_(PPM): 162.56, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:02:59.831 Temperature_(C): 20.40, Humidity_(%): 57.50, VOC_(PPM): 174.24, CO2_(PPM): 464.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:03:00.749 Temperature_(C): 20.40, Humidity_(%): 57.40, VOC_(PPM): 158.89, CO2_(PPM): 465.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:03:01.601 Temperature_(C): 20.40, Humidity_(%): 57.40, VOC_(PPM): 178.37, CO2_(PPM): 466.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:03:02.453 Temperature_(C): 20.40, Humidity_(%): 57.60, VOC_(PPM): 144.31, CO2_(PPM): 466.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 5
15:03:03.363 Temperature_(C): 20.40, Humidity_(%): 57.60, VOC_(PPM): 170.19, CO2_(PPM): 467.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:03:04.235 Temperature_(C): 20.50, Humidity_(%): 57.70, VOC_(PPM): 290.84, CO2_(PPM): 468.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:03:05.078 Temperature_(C): 20.50, Humidity_(%): 57.70, VOC_(PPM): 162.22, CO2_(PPM): 470.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
