16:30:48.400 Temperature_(C): 19.30, Humidity_(%): 64.90, VOC_(PPM): 296.52, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:30:49.268 Temperature_(C): 19.30, Humidity_(%): 64.90, VOC_(PPM): 268.09, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:30:50.112 Temperature_(C): 19.20, Humidity_(%): 65.30, VOC_(PPM): 279.74, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:30:51.025 Temperature_(C): 19.20, Humidity_(%): 65.30, VOC_(PPM): 252.53, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
16:30:51.867 Temperature_(C): 19.20, Humidity_(%): 65.50, VOC_(PPM): 279.44, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
16:30:52.721 Temperature_(C): 19.20, Humidity_(%): 65.50, VOC_(PPM): 279.44, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
16:30:53.639 Temperature_(C): 19.10, Humidity_(%): 65.80, VOC_(PPM): 258.17, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:30:54.478 Temperature_(C): 19.10, Humidity_(%): 65.80, VOC_(PPM): 511.12, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:30:55.343 Temperature_(C): 19.10, Humidity_(%): 65.80, VOC_(PPM): 237.52, CO2_(PPM): 409.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:30:56.258 Temperature_(C): 19.00, Humidity_(%): 66.20, VOC_(PPM): 264.04, CO2_(PPM): 409.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:30:57.101 Temperature_(C): 19.00, Humidity_(%): 66.20, VOC_(PPM): 243.03, CO2_(PPM): 409.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:30:57.968 Temperature_(C): 19.00, Humidity_(%): 66.00, VOC_(PPM): 253.64, CO2_(PPM): 409.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:30:58.876 Temperature_(C): 19.00, Humidity_(%): 66.00, VOC_(PPM): 253.64, CO2_(PPM): 409.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:30:59.709 Temperature_(C): 18.90, Humidity_(%): 66.40, VOC_(PPM): 248.92, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:00.578 Temperature_(C): 18.90, Humidity_(%): 66.40, VOC_(PPM): 270.32, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:01.508 Temperature_(C): 18.80, Humidity_(%): 66.50, VOC_(PPM): 244.64, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:02.318 Temperature_(C): 18.80, Humidity_(%): 66.50, VOC_(PPM): 255.05, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:03.180 Temperature_(C): 18.80, Humidity_(%): 66.50, VOC_(PPM): 224.78, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:04.117 Temperature_(C): 18.70, Humidity_(%): 66.80, VOC_(PPM): 250.44, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:04.948 Temperature_(C): 18.70, Humidity_(%): 66.80, VOC_(PPM): 215.86, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:05.788 Temperature_(C): 18.70, Humidity_(%): 67.00, VOC_(PPM): 234.90, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:06.703 Temperature_(C): 18.70, Humidity_(%): 67.00, VOC_(PPM): 245.00, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:07.574 Temperature_(C): 18.60, Humidity_(%): 67.40, VOC_(PPM): 235.37, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:08.410 Temperature_(C): 18.60, Humidity_(%): 67.40, VOC_(PPM): 240.40, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:31:09.326 Temperature_(C): 18.60, Humidity_(%): 67.40, VOC_(PPM): 220.78, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:10.191 Temperature_(C): 18.50, Humidity_(%): 67.70, VOC_(PPM): 241.01, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:11.035 Temperature_(C): 18.50, Humidity_(%): 67.70, VOC_(PPM): 207.40, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:11.947 Temperature_(C): 18.50, Humidity_(%): 67.90, VOC_(PPM): 230.78, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:12.776 Temperature_(C): 18.50, Humidity_(%): 67.90, VOC_(PPM): 235.73, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:13.654 Temperature_(C): 18.40, Humidity_(%): 68.10, VOC_(PPM): 212.41, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:14.558 Temperature_(C): 18.40, Humidity_(%): 68.10, VOC_(PPM): 251.84, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:15.426 Temperature_(C): 18.40, Humidity_(%): 68.10, VOC_(PPM): 217.07, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:16.270 Temperature_(C): 18.30, Humidity_(%): 68.20, VOC_(PPM): 222.61, CO2_(PPM): 408.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
16:31:17.187 Temperature_(C): 18.30, Humidity_(%): 68.20, VOC_(PPM): 204.06, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:31:18.023 Temperature_(C): 18.40, Humidity_(%): 68.50, VOC_(PPM): 226.14, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:31:18.855 Temperature_(C): 18.40, Humidity_(%): 68.50, VOC_(PPM): 226.14, CO2_(PPM): 408.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:31:19.797 Temperature_(C): 18.20, Humidity_(%): 68.60, VOC_(PPM): 218.32, CO2_(PPM): 407.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:31:20.637 Temperature_(C): 18.20, Humidity_(%): 68.60, VOC_(PPM): 242.90, CO2_(PPM): 407.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:31:21.481 Temperature_(C): 18.20, Humidity_(%): 68.60, VOC_(PPM): 209.02, CO2_(PPM): 407.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
16:31:22.394 Temperature_(C): 18.30, Humidity_(%): 68.60, VOC_(PPM): 222.15, CO2_(PPM): 407.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2

