16:25:59.847 Temperature_(C): 19.30, Humidity_(%): 63.20, VOC_(PPM): 11443.86, CO2_(PPM): 409.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
16:26:00.787 Temperature_(C): 19.30, Humidity_(%): 63.20, VOC_(PPM): 10824.15, CO2_(PPM): 409.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 10, PM10_(ug/m3): 10
16:26:01.676 Temperature_(C): 19.30, Humidity_(%): 63.50, VOC_(PPM): 11812.88, CO2_(PPM): 409.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 11, PM10_(ug/m3): 11
16:26:02.614 Temperature_(C): 19.30, Humidity_(%): 63.50, VOC_(PPM): 11174.42, CO2_(PPM): 409.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 16, PM10_(ug/m3): 16
16:26:03.528 Temperature_(C): 19.30, Humidity_(%): 63.70, VOC_(PPM): 11800.44, CO2_(PPM): 409.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
16:26:04.440 Temperature_(C): 19.30, Humidity_(%): 63.70, VOC_(PPM): 11800.44, CO2_(PPM): 409.00, PM1.0_(ug/m3): 15, PM2.5_(ug/m3): 19, PM10_(ug/m3): 19
16:26:05.352 Temperature_(C): 19.30, Humidity_(%): 63.30, VOC_(PPM): 12225.19, CO2_(PPM): 409.00, PM1.0_(ug/m3): 15, PM2.5_(ug/m3): 20, PM10_(ug/m3): 20
16:26:06.290 Temperature_(C): 19.30, Humidity_(%): 63.30, VOC_(PPM): 15405.94, CO2_(PPM): 409.00, PM1.0_(ug/m3): 17, PM2.5_(ug/m3): 22, PM10_(ug/m3): 22
16:26:07.203 Temperature_(C): 19.30, Humidity_(%): 63.00, VOC_(PPM): 12518.58, CO2_(PPM): 409.00, PM1.0_(ug/m3): 15, PM2.5_(ug/m3): 20, PM10_(ug/m3): 20
16:26:08.109 Temperature_(C): 19.30, Humidity_(%): 63.00, VOC_(PPM): 13376.14, CO2_(PPM): 409.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
16:26:09.043 Temperature_(C): 19.30, Humidity_(%): 63.10, VOC_(PPM): 13222.47, CO2_(PPM): 410.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
16:26:09.882 Temperature_(C): 19.30, Humidity_(%): 63.10, VOC_(PPM): 14439.70, CO2_(PPM): 410.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
16:26:10.726 Temperature_(C): 19.30, Humidity_(%): 63.10, VOC_(PPM): 12791.73, CO2_(PPM): 410.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
16:26:11.642 Temperature_(C): 19.40, Humidity_(%): 63.30, VOC_(PPM): 13748.79, CO2_(PPM): 416.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 14, PM10_(ug/m3): 14
16:26:12.580 Temperature_(C): 19.40, Humidity_(%): 63.30, VOC_(PPM): 12868.74, CO2_(PPM): 424.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
16:26:13.491 Temperature_(C): 19.40, Humidity_(%): 62.70, VOC_(PPM): 13491.85, CO2_(PPM): 433.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 11, PM10_(ug/m3): 11
16:26:14.407 Temperature_(C): 19.40, Humidity_(%): 62.70, VOC_(PPM): 13197.61, CO2_(PPM): 441.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9

16:26:53.122 Temperature_(C): 19.70, Humidity_(%): 60.00, VOC_(PPM): 13673.71, CO2_(PPM): 558.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
16:26:54.037 Temperature_(C): 19.70, Humidity_(%): 59.90, VOC_(PPM): 15103.12, CO2_(PPM): 559.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:26:54.904 Temperature_(C): 19.70, Humidity_(%): 59.90, VOC_(PPM): 13832.37, CO2_(PPM): 560.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:26:55.748 Temperature_(C): 19.80, Humidity_(%): 59.70, VOC_(PPM): 14733.24, CO2_(PPM): 561.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:26:56.664 Temperature_(C): 19.80, Humidity_(%): 59.70, VOC_(PPM): 13945.60, CO2_(PPM): 563.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:26:57.507 Temperature_(C): 19.70, Humidity_(%): 59.80, VOC_(PPM): 14303.95, CO2_(PPM): 563.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
16:26:58.340 Temperature_(C): 19.70, Humidity_(%): 59.80, VOC_(PPM): 14621.72, CO2_(PPM): 564.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3

16:26:59.270 Temperature_(C): 19.70, Humidity_(%): 59.80, VOC_(PPM): 13688.12, CO2_(PPM): 565.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
